id,Date,text,Polarity,SentimentScore,Sentiment
id,created_at,text,0.0,3,Neutral
936010654275776512,2017-11-29 23:15:04,"b""ICYMI: The full #AWrinkleInTime movie trailer is here! Who's excited!? https://t.co/hsi9m8YQQ7""",0.453125,4,Positive
935923853259354112,2017-11-29 17:30:09,"b""Who's ready for a live-action #StarWars #TV show? Let us know what you think! https://t.co/hDgtAdoUPd https://t.co/nmSl42WumV""",0.25,4,Positive
935678592717066241,2017-11-29 01:15:35,"b'The British are coming, the British are coming! Are you watching? https://t.co/uwd6pXXMLT https://t.co/kfLsu1PvEY'",0.0,3,Neutral
935557670173626368,2017-11-28 17:15:05,"b""Wanna know when your favorite #TV shows will wake from their long winter naps? We've got all the info here! https://t.co/PPb56jeTCw""",0.21875,3,Neutral
935329920015917056,2017-11-28 02:10:05,b'The votes are in and the #fall #TV winner is.... https://t.co/Yml7EcRTuR',0.0,3,Neutral
935217959873732608,2017-11-27 18:45:11,"b""It's the last day of our annual #whiteout #sale! Don't miss out on all the #TiVo exclusive deals. https://t.co/E78xr4RUg5""",0.0,3,Neutral
935044727551832064,2017-11-27 07:16:49,"b""Don't let these prices go to waste! Skip the lines and head over to https://t.co/VPlqZ7ZU4B before the #whiteout\xe2\x80\xa6 https://t.co/7k8Up3DcxI""",-0.25,2,Negative
934505302375923712,2017-11-25 19:33:21,b'@DavidJDyar Hi @DavidJDyar. We appreciate your idea. You might want to send this to our developers here: https://t.co/0o70scaZgt',0.0,3,Neutral
934212557136646146,2017-11-25 00:10:05,"b""We're just not that into you.... \xf0\x9f\x92\x94  https://t.co/qlsc0wOcXC""",0.0,3,Neutral
934121967782973440,2017-11-24 18:10:06,b'What do #StarWars and #HighSchoolMusical have in common? Both of these hit movies will be making their #TV show deb\xe2\x80\xa6 https://t.co/BNEW2O55oJ',-0.3,2,Negative
933779719039877120,2017-11-23 19:30:08,"b""Who's ready for a day filled with turkey, treats, and #TV? Check out #TiVo Central for all your watch-worthy needs. https://t.co/g2Atv8bCjO""",0.20000000000000004,3,Neutral
933734439523405824,2017-11-23 16:30:12,"b'#Thanksgiving = \xf0\x9f\x8f\x88. And this year, we have not one, but three reasons to give thanks! Check out how to catch all thr\xe2\x80\xa6 https://t.co/6M8XnIWHyg'",0.25,4,Positive
933473942949556225,2017-11-22 23:15:05,"b'Get your #turkeyday started early with 40 #Thanksgiving themed specials on @netflix! We\'re firing up some ""Friends.\xe2\x80\xa6 https://t.co/xPsuCtbiBY'",0.125,3,Neutral
933411118046990337,2017-11-22 19:05:27,"b""@Safetydog17 Hi @Safetydog17. We apologize that you're having hard time reactivating your TiVo device using your My\xe2\x80\xa6 https://t.co/613aeGEKU9""",-0.2916666666666667,2,Negative
933402900851806210,2017-11-22 18:32:48,b'@BiGdOGGPHiL Hi @BiGdOGGPHiL. We apologize for the trouble. Have you tried to unplug the power cord of the TiVo box\xe2\x80\xa6 https://t.co/3VVA1L4Z7q',-0.2,2,Negative
933387127462776833,2017-11-22 17:30:07,"b'Holiday #TV specials, like the ones on this kid-friendly list, are great for the whole family! https://t.co/KfhaG5Z6TS'",0.525,5,Very Positive
933141747303174144,2017-11-22 01:15:04,b'Do these #TV show titles make sense to you? https://t.co/oK7bdmFRnF',0.0,3,Neutral
933029122456072192,2017-11-21 17:47:32,b'@joelfinkle Hi @joelfinkle. We appreciate your suggestion. You might want to send this insight to our developers. J\xe2\x80\xa6 https://t.co/6dG4LOJkhC',0.0,3,Neutral
933028327044116480,2017-11-21 17:44:22,"b""@mattrollo1 Hi Matt. We're sorry to hear this. But, do you have the dongle inserted at the back of the TiVo Mini? T\xe2\x80\xa6 https://t.co/inm2NUwGqa""",-0.25,2,Negative
933020960348876800,2017-11-21 17:15:06,"b""Ever wonder what happened before Frodo found the ring? You're in luck! @Amazon's new TV show will take us all back\xe2\x80\xa6 https://t.co/3gq1R7MWkT""",0.13636363636363635,3,Neutral
932793204629532672,2017-11-21 02:10:05,"b""Not everything can be a hit. These shows won't be returning to #TV screens anytime soon. https://t.co/hRupsyFLzb""",0.0,3,Neutral
932722082546442240,2017-11-20 21:27:28,"b""@MPOWERDInc @alafairburke Same here. We're happy to help!""",0.5,5,Very Positive
932681274560602112,2017-11-20 18:45:18,b'What movies are you asking your #TiVo to play? #TalkToTheVOX https://t.co/pDF9yhn8Ms',0.0,3,Neutral
932408186669293569,2017-11-20 00:40:09,"b""@sganley I see. However, if the issue happens again, feel free to reach us back and we're always happy to assist you.""",0.4000000000000001,4,Positive
932379810973798400,2017-11-19 22:47:24,"b""@sganley Hi @sganley. We're sorry to hear that your TiVo rebooted itself. To To keep it from doing it again, you mi\xe2\x80\xa6 https://t.co/x8XKbGWGaQ""",-0.5,2,Negative
932351434192052225,2017-11-19 20:54:38,"b""@Nonnalin We sincerely apologize for the inconvenience. We understand, you don't deserve this as you're our longtime  customer.""",0.5,5,Very Positive
932315812588937216,2017-11-19 18:33:05,"b""@Nonnalin I see. Since it's a netwok error, you might want to power cycle your modem or router to refresh the inter\xe2\x80\xa6 https://t.co/XSDphrVt94""",0.0,3,Neutral
932292246254358528,2017-11-19 16:59:27,"b""@Nonnalin Hi @Nonnalin. We're sorry to hear that you've been having trouble with the TiVo app. But, can you tell us\xe2\x80\xa6 https://t.co/wFajlnUqT0""",-0.35,2,Negative
932284886001573888,2017-11-19 16:30:12,b'@LazyBoyHappyBoy Sorry to hear this. You might also want to try doing the Repeat Guided Setup to update your guide\xe2\x80\xa6 https://t.co/JCBsPJ0r6m',-0.5,2,Negative
932004703122030592,2017-11-18 21:56:51,"b""Set your TiVos! Our #whiteout #sale starts bright and early on November, 21st! Who's ready? #TiVoExclusive https://t.co/BKGCfT9Dt5""",0.25,4,Positive
931967410952949763,2017-11-18 19:28:40,"b'@osaddict Hi @osaddict. Unfortunately, there are no updates yet of when streaming from iOS device with cellular dat\xe2\x80\xa6 https://t.co/6yGZtLtSbL'",-0.5,2,Negative
931961224446775298,2017-11-18 19:04:05,b'@erod550 Hi @erod550. Thank you for loving the SkipMode feature and for this feedback. To submit this to our develo\xe2\x80\xa6 https://t.co/92QQCUoJJh',0.6,5,Very Positive
931953322952716288,2017-11-18 18:32:41,"b""@LazyBoyHappyBoy Hi @LazyBoyHappyBoy. We're sorry to know that you don't have the guide for Laff network. Have you\xe2\x80\xa6 https://t.co/kyPs0JprbQ""",-0.5,2,Negative
931675843243503616,2017-11-18 00:10:05,b'How much #PeakTV is too much #TV? @Variety https://t.co/S9nHyqI60d',0.2,3,Neutral
931645974287650816,2017-11-17 22:11:24,b'@alafairburke DM sent! Thank you for reaching out.',0.0,3,Neutral
931585240597921792,2017-11-17 18:10:04,b'#Friday is upon us and we have the perfect recipe for a great #weekend: The Ultimate #Binge Guide! https://t.co/1rvePZ6qpq',0.6,5,Very Positive
931298357800308736,2017-11-16 23:10:05,b'Apple announced a highly anticipated morning #TV show from @RWitherspoon and Jennifer Aniston. Will you watch? https://t.co/ff0GZnZ9CO',0.16,3,Neutral
931212804547334144,2017-11-16 17:30:08,b'What better way to spend a cold weekend than inside bingeing 90s teen #horror flicks? https://t.co/fVCwcCchzp https://t.co/Q8W8EfFC1N',-0.033333333333333326,2,Negative
930937226804056065,2017-11-15 23:15:05,"b"".@Drake is making his return to #TV! While it might not be the #Degrassi reboot, we can't wait to see what he does!\xe2\x80\xa6 https://t.co/HQAmjMLDI0""",0.0,3,Neutral
930859615310532609,2017-11-15 18:06:41,b'@berkson0 Would you mind sharing the phone number you were calling so that we can look into the issue? Thank you.',0.0,3,Neutral
930858832947007503,2017-11-15 18:03:34,b'@berkson0 Thank you for bringing this to our attention. Please use @TiVoSupport if you have any other issues.',-0.125,2,Negative
930850416287502336,2017-11-15 17:30:08,b'Can you decode these #TV show acronyms? https://t.co/N87yjLvvai',0.0,3,Neutral
930848639978700800,2017-11-15 17:23:04,"b""@lakeoskiguy Hi @lakeoskiguy. Unfortunately, TiVo doesn't work with SlingTV, Hulu Live TV and DirecTV Now. But, you\xe2\x80\xa6 https://t.co/F6NFaqQCF8""",-0.18181818181818182,2,Negative
930605039017779200,2017-11-15 01:15:05,b'Get the dish on the show that changed #reality #TV from #RealWorld creator @BunimMurray. https://t.co/L4NgT0Sl7L https://t.co/r8dPfyH4pa',0.0,3,Neutral
930484297173266432,2017-11-14 17:15:18,"b""What's your favorite way to #TalkToTheVOX? Get inspired but some of our fans' favorite searches! https://t.co/Jd8XQ55pZ3""",0.5625,5,Very Positive
930256493286514688,2017-11-14 02:10:05,"b""For those of you who haven't gotten to #StrangerThings yet (\xf0\x9f\x98\xb1 ) be sure to adjust this #TV setting before bingeing!\xe2\x80\xa6 https://t.co/uiQxyE1a97""",0.5,5,Very Positive
930252935354863616,2017-11-14 01:55:57,"b'@colbe Hello Colleen! We sincerely apologize for the inconvenience that this may have caused you. However, we are d\xe2\x80\xa6 https://t.co/mF8QaQL7xC'",0.5,5,Very Positive
